,ano,preco_ouro,ipc,indice_nyse
0,2007,697.3999615384615,207.3425,9653.041054531872
1,2008,872.2054580152671,215.303,8030.863233000865
2,2009,974.0664750957854,214.537,6100.639198908731
3,2010,1227.308429118774,218.0555,7233.543024941096
4,2011,1572.7218076923075,224.93900000000002,7863.18317328559
5,2012,1668.747011494253,229.594,8008.235865234375
6,2013,1410.0741923076923,232.957,9432.335007440475
7,2014,1266.2359230769232,236.736,10655.293011377727
8,2015,1159.9351340996168,237.017,10673.225012400791
9,2016,1248.3648659003832,240.0075,10391.71156529018
10,2017,1258.4182692307693,245.11950000000002,11846.11687624502
11,2018,1268.9212355212355,251.107,12653.069121949702
12,2019,1393.8183076923078,255.65750000000003,12864.524545820932
13,2020,1771.3526335877864,258.81100000000004,12624.352894176136
14,2021,1798.8169348659003,270.9695,16262.097477988593
15,2022,1801.9247692307688,292.655,15455.15729659487
