ano,mes,preco_ouro,ipc,indice_nyse
2007,1,631.06,202.42,9132.09
2007,2,666.44,203.5,9346.47
2007,3,654.19,205.35,9120.57
2007,4,679.64,206.69,9555.98
2007,5,667.59,207.95,9822.99
2007,6,655.45,208.35,9896.98
2007,7,665.69,208.3,9985.42
2007,8,665.91,207.92,9440.44
2007,9,713.6,208.49,9777.59
2007,10,756.72,208.94,10159.33
2007,11,806.55,210.18,9741.15
2007,12,806.97,210.04,9807.36
2008,1,888.33,211.08,9165.1
2008,2,925.5,211.69,9041.52
2008,3,960.27,213.53,8776.21
2008,4,910.3,214.82,9174.1
2008,5,890.79,216.63,9429.04
2008,6,890.58,218.82,8996.98
2008,7,940.04,219.96,8427.37
2008,8,836.62,219.09,8362.2
2008,9,828.86,218.78,7886.29
2008,10,805.42,216.57,6130.39
2008,11,760.87,212.42,5527.63
2008,12,825.74,210.23,5525.7
2009,1,862.75,211.14,5477.14
2009,2,942.2,212.19,5051.42
2009,3,926.66,212.71,4739.72
2009,4,890.69,213.24,5338.39
2009,5,930.45,213.86,5823.1
2009,6,945.71,215.69,5985.64
2009,7,935.13,215.35,6026.55
2009,8,949.84,215.83,6577.18
2009,9,998.04,215.97,6839.88
2009,10,1044.89,216.18,6986.35
2009,11,1131.79,216.33,7079.38
2009,12,1126.65,215.95,7167.51
2010,1,1117.15,216.69,7257.37
2010,2,1098.87,216.74,6958.36
2010,3,1114.28,217.63,7349.87
2010,4,1149.42,218.01,7607.49
2010,5,1206.12,218.18,7010.08
2010,6,1234.16,217.96,6767.75
2010,7,1193.12,218.01,6814.61
2010,8,1217.68,218.31,6922.3
2010,9,1272.56,218.44,7149.32
2010,10,1345.08,218.71,7482.15
2010,11,1371.94,218.8,7608.4
2010,12,1392.64,219.18,7837.43
2011,1,1360.76,220.22,8093.4
2011,2,1374.6,221.31,8361.7
2011,3,1423.33,223.47,8274.78
2011,4,1485.3,224.91,8470.07
2011,5,1512.4,225.96,8414.34
2011,6,1528.42,225.72,8108.71
