,Ano,Data,Último
0,2006,2006-07-15 12:00:00.000000000,609.3829583333334
1,2007,2007-07-01 21:36:00.000000000,697.3999615384615
2,2008,2008-07-01 07:14:11.908397056,872.2054580152671
3,2009,2009-07-02 09:33:47.586206976,974.0664750957854
4,2010,2010-07-02 19:07:35.172413696,1227.308429118774
5,2011,2011-07-02 12:00:00.000000000,1572.7218076923077
6,2012,2012-07-01 04:52:24.827586304,1668.747011494253
7,2013,2013-07-01 23:10:09.230769152,1410.0741923076923
8,2014,2014-07-01 07:45:13.846153728,1266.2359230769232
9,2015,2015-07-02 09:33:47.586206976,1159.9351340996168
10,2016,2016-07-01 19:07:35.172413696,1248.3648659003832
11,2017,2017-07-01 12:00:00.000000000,1258.4182692307693
12,2018,2018-06-30 21:07:38.687258624,1268.9212355212355
13,2019,2019-07-01 21:13:50.769230848,1393.8183076923078
14,2020,2020-07-01 16:45:48.091602944,1771.3526335877864
15,2021,2021-07-02 19:07:35.172413696,1798.8169348659003
16,2022,2022-07-02 12:00:00.000000000,1801.9247692307692
17,2023,2023-07-01 19:55:22.007721984,1942.7497683397683
18,2024,2024-06-30 14:01:50.769230848,2387.9814230769234
19,2025,2025-02-21 02:00:00.000000000,2890.8080555555553
