Year,month,value
2007,1,202.416
2007,2,203.499
2007,3,205.352
2007,4,206.686
2007,5,207.949
2007,6,208.352
2007,7,208.299
2007,8,207.917
2007,9,208.49
2007,10,208.936
2007,11,210.177
2007,12,210.036
2008,1,211.08
2008,2,211.693
2008,3,213.528
2008,4,214.823
2008,5,216.632
2008,6,218.815
2008,7,219.964
2008,8,219.086
2008,9,218.783
2008,10,216.573
2008,11,212.425
2008,12,210.228
2009,1,211.143
2009,2,212.193
2009,3,212.709
2009,4,213.24
2009,5,213.856
2009,6,215.693
2009,7,215.351
2009,8,215.834
2009,9,215.969
2009,10,216.177
2009,11,216.33
2009,12,215.949
2010,1,216.687
2010,2,216.741
2010,3,217.631
2010,4,218.009
2010,5,218.178
2010,6,217.965
2010,7,218.011
2010,8,218.312
2010,9,218.439
2010,10,218.711
2010,11,218.803
2010,12,219.179
2011,1,220.223
2011,2,221.309
2011,3,223.467
2011,4,224.906
2011,5,225.964
2011,6,225.722
2011,7,225.922
2011,8,226.545
2011,9,226.889
2011,10,226.421
2011,11,226.23
2011,12,225.672
2012,1,226.665
2012,2,227.663
2012,3,229.392
2012,4,230.085
2012,5,229.815
2012,6,229.478
2012,7,229.104
2012,8,230.379
2012,9,231.407
2012,10,231.317
2012,11,230.221
2012,12,229.601
2013,1,230.28
2013,2,232.166
2013,3,232.773
2013,4,232.531
2013,5,232.945
2013,6,233.504
2013,7,233.596
2013,8,233.877
2013,9,234.149
2013,10,233.546
2013,11,233.069
2013,12,233.049
2014,1,233.916
2014,2,234.781
2014,3,236.293
2014,4,237.072
2014,5,237.9
2014,6,238.343
2014,7,238.25
2014,8,237.852
2014,9,238.031
2014,10,237.433
2014,11,236.151
2014,12,234.812
2015,1,233.707
2015,2,234.722
2015,3,236.119
2015,4,236.599
2015,5,237.805
2015,6,238.638
2015,7,238.654
2015,8,238.316
2015,9,237.945
2015,10,237.838
2015,11,237.336
2015,12,236.525
2016,1,236.916
2016,2,237.111
2016,3,238.132
2016,4,239.261
2016,5,240.229
2016,6,241.018
2016,7,240.628
2016,8,240.849
2016,9,241.428
2016,10,241.729
2016,11,241.353
2016,12,241.432
2017,1,242.839
2017,2,243.603
2017,3,243.801
2017,4,244.524
2017,5,244.733
2017,6,244.955
2017,7,244.786
2017,8,245.519
2017,9,246.819
2017,10,246.663
2017,11,246.669
2017,12,246.524
2018,1,247.867
2018,2,248.991
2018,3,249.554
2018,4,250.546
2018,5,251.588
2018,6,251.989
2018,7,252.006
2018,8,252.146
2018,9,252.439
2018,10,252.885
2018,11,252.038
2018,12,251.233
2019,1,251.712
2019,2,252.776
2019,3,254.202
2019,4,255.548
2019,5,256.092
2019,6,256.143
2019,7,256.571
2019,8,256.558
2019,9,256.759
2019,10,257.346
2019,11,257.208
2019,12,256.974
2020,1,257.971
2020,2,258.678
2020,3,258.115
2020,4,256.389
2020,5,256.394
2020,6,257.797
2020,7,259.101
2020,8,259.918
2020,9,260.28
2020,10,260.388
2020,11,260.229
2020,12,260.474
2021,1,261.582
2021,2,263.014
2021,3,264.877
2021,4,267.054
2021,5,269.195
2021,6,271.696
2021,7,273.003
2021,8,273.567
2021,9,274.31
2021,10,276.589
2021,11,277.948
2021,12,278.802
2022,1,281.148
2022,2,283.716
2022,3,287.504
2022,4,289.109
2022,5,292.296
2022,6,296.311
2022,7,296.276
2022,8,296.171
2022,9,296.808
2022,10,298.012
2022,11,297.711
2022,12,296.797
